Date,EUR/JPY,USD/NOK,USD/ZAR,RUB/USD,NOK/SEK,NZD/JPY,AUD/NZD,EUR/USD,GBP/JPY,GBP/CHF,GBP/USD,USD/AUD
28/07/2000,101.12,8.8667,6.96,0.0359,1.0346,50.11,1.2852,0.9306,164.61,2.5186,1.503,0.5889
31/07/2000,101.34,8.8567,6.9575,0.0359,1.035,49.76,1.2767,0.9341,164.07,2.5054,1.4995,0.5804
01/08/2000,99.91,8.9674,7.02,0.0359,1.0354,49.57,1.2759,0.9275,163.07,2.5206,1.492,0.5793
02/08/2000,99.45,8.9652,6.99,0.0360,1.0321,49.48,1.2864,0.919,162.81,2.5242,1.4956,0.5837
03/08/2000,98.23,8.9822,6.99,0.0360,1.0356,49.51,1.2827,0.9137,162.25,2.5528,1.4979,0.586
04/08/2000,98.63,8.9087,6.9525,0.0360,1.0374,49.57,1.2849,0.9145,163.39,2.5654,1.5042,0.5851
07/08/2000,99.05,8.9322,6.9675,0.0360,1.03,49.61,1.2906,0.9149,165.09,2.5808,1.5128,0.5873
08/08/2000,97.99,8.9813,6.98,0.0361,1.0279,49.23,1.2877,0.9083,163.5,2.5758,1.505,0.583
09/08/2000,97.19,8.9793,7,0.0361,1.03,48.73,1.2812,0.9049,162,2.5776,1.5025,0.5787
10/08/2000,98.72,8.9339,6.9525,0.0361,1.0303,49.13,1.2883,0.9139,162.8,2.5522,1.4973,0.5822
11/08/2000,98.03,8.9476,6.8945,0.0361,1.0308,48.77,1.287,0.9093,163.03,2.5865,1.5022,0.5798
14/08/2000,99.11,8.9157,6.9185,0.0361,1.0312,49.27,1.293,0.9111,164.78,2.5884,1.5059,0.5819
15/08/2000,99.52,8.8944,6.9325,0.0359,1.0316,48.91,1.2992,0.919,163.98,2.5729,1.5039,0.5834
16/08/2000,99.46,8.8491,6.9475,0.0360,1.0367,49.17,1.3058,0.9212,162.91,2.5595,1.5,0.5915
17/08/2000,99.58,8.8216,6.915,0.0360,1.0418,49.19,1.309,0.9227,162.68,2.5566,1.4977,0.5934
18/08/2000,98.26,8.8929,6.93,0.0360,1.0441,48.84,1.3115,0.9121,161.53,2.5648,1.49,0.5905
21/08/2000,98.06,8.9182,6.9675,0.0360,1.0428,48.92,1.3064,0.9071,161.67,2.575,1.4874,0.5892
22/08/2000,97.18,8.9756,6.9875,0.0360,1.0402,47.67,1.3189,0.9026,160.54,2.5784,1.4825,0.5807
23/08/2000,96.39,8.9481,6.96,0.0361,1.0375,46.16,1.3251,0.9053,159.03,2.5572,1.4871,0.5714
24/08/2000,96.4,8.9848,6.935,0.0361,1.0333,46.35,1.3192,0.9073,158.31,2.5363,1.4815,0.5728
